Model Name,Epochs,Batch Size,Learning Rate,Loss,Optimizer,Scheduler,Test,Warmup,Patience,Pretrained,Work Sync Steps,Work Local Steps,Work Batch Size,Num Workers,Slowmo LR,SlowMo Momentum,Model Accuracy,Best Model Accuracy
LeNet,150,64,0.08,CSE,SGDM,WarmUpPolynomialDecayLR,False,15,15,,88,4,64,2,1.0,0.6,45.88,45.76
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.2,0.0,51.99,51.6
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.2,0.2,50.48,50.12
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.2,0.4,51.85,50.77
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.2,0.6,50.95,51.08
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.2,0.8,51.72,51.73
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.2,1.0,22.72,24.61
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.4,0.0,51.79,51.52
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.4,0.2,52.13,52.12
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.4,0.4,52.07,51.96
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.4,0.6,52.1,51.71
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.4,0.8,51.7,51.19
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.4,1.0,8.09,13.48
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.6,0.0,52.64,51.96
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.6,0.2,52.71,52.21
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.6,0.4,51.63,51.72
LeNet,150,64,0.02,CSE,SGDM,CosineAnnealingLR,False,15,15,0.0001,,88,4,64,2,0.6,0.6,51.9,51.54
